,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
213,Toronto Central,"1,519","$1,036,475,711","$682,341","$475,200","3,283",53.5%,"4,496",2.4,99%,22,12,6
214,Toronto C01,406,"$187,414,440","$461,612","$400,000",981,49.5%,"1,427",2.9,99%,24,12,6
215,Toronto C02,89,"$78,186,913","$878,505","$770,900",150,49.7%,263,3.2,100%,20,12,6
216,Toronto C03,52,"$50,747,854","$975,920","$635,000",87,59.8%,112,2.2,99%,14,12,6
217,Toronto C04,102,"$121,986,642","$1,195,947","$1,152,500",163,57.0%,210,2.1,99%,21,12,6
218,Toronto C06,28,"$18,464,638","$659,451","$658,500",64,57.2%,82,2.2,99%,20,12,6
219,Toronto C07,110,"$69,159,695","$628,725","$484,750",258,53.8%,352,2.2,99%,21,12,6
220,Toronto C08,138,"$61,837,063","$448,095","$406,000",329,57.0%,458,2.2,99%,22,12,6
221,Toronto C09,28,"$45,028,500","$1,608,161","$1,218,000",51,59.0%,66,2.4,97%,22,12,6
222,Toronto C10,71,"$47,254,080","$665,550","$630,000",120,64.2%,127,1.5,103%,14,12,6
223,Toronto C11,34,"$22,674,236","$666,889","$383,400",64,62.6%,86,1.9,98%,17,12,6
224,Toronto C12,55,"$108,922,700","$1,980,413","$1,489,000",91,50.8%,162,3.5,96%,34,12,6
225,Toronto C13,94,"$54,285,794","$577,508","$459,000",159,61.4%,157,1.8,101%,19,12,6
226,Toronto C14,171,"$96,455,280","$564,066","$410,000",424,52.2%,559,2.1,99%,24,12,6
227,Toronto C15,141,"$74,057,876","$525,233","$450,000",342,51.2%,435,2.3,98%,18,12,6
228,Toronto East,"1,043","$456,158,271","$437,352","$420,000","1,900",60.6%,"1,952",1.9,100%,19,12,6
229,Toronto E01,98,"$58,074,270","$592,595","$570,500",156,62.3%,119,1.5,103%,13,12,6
230,Toronto E02,75,"$45,940,671","$612,542","$539,900",134,63.0%,113,1.3,101%,13,12,6
231,Toronto E03,115,"$61,500,212","$534,784","$516,700",209,61.7%,174,1.5,102%,14,12,6
232,Toronto E04,111,"$39,861,300","$359,111","$394,000",220,60.8%,251,2.0,100%,21,12,6
233,Toronto E05,125,"$53,727,268","$429,818","$410,000",204,67.8%,185,1.4,101%,16,12,6
234,Toronto E06,41,"$20,093,548","$490,087","$437,000",73,58.0%,70,1.6,99%,20,12,6
235,Toronto E07,96,"$35,418,034","$368,938","$336,500",187,58.3%,220,2.2,99%,26,12,6
236,Toronto E08,74,"$27,598,468","$372,952","$373,750",111,59.7%,143,2.3,99%,24,12,6
237,Toronto E09,116,"$38,517,279","$332,046","$335,500",263,55.8%,329,2.4,99%,27,12,6
238,Toronto E10,88,"$38,812,537","$441,052","$429,250",134,63.1%,121,1.8,100%,15,12,6
239,Toronto E11,104,"$36,614,684","$352,064","$344,900",209,58.0%,227,2.2,99%,22,12,6
240,TREB Total,"7,570","$3,610,492,389","$476,947","$410,000","13,888",58.0%,"20,318",2.2,98%,26,12,7
241,City of Toronto Total,"2,721","$1,363,040,705","$500,934","$410,000","5,537",55.5%,"8,385",2.3,98%,26,12,7
242,Toronto West,705,"$324,642,124","$460,485","$401,500","1,292",57.1%,"2,020",2.5,99%,27,12,7
243,Toronto W01,40,"$19,989,350","$499,734","$404,950",93,53.0%,139,2.3,100%,21,12,7
244,Toronto W02,50,"$30,475,246","$609,505","$544,500",93,65.4%,108,1.3,98%,20,12,7
245,Toronto W03,57,"$21,944,000","$384,982","$397,000",81,67.9%,95,1.7,100%,25,12,7
246,Toronto W04,78,"$29,914,511","$383,519","$403,500",120,58.3%,198,2.6,98%,29,12,7
247,Toronto W05,94,"$32,624,277","$347,067","$375,000",177,57.4%,315,3.0,98%,29,12,7
248,Toronto W06,123,"$55,606,165","$452,083","$399,900",249,46.3%,415,3.4,98%,33,12,7
249,Toronto W07,19,"$13,311,500","$700,605","$750,000",34,67.1%,35,1.4,101%,25,12,7
250,Toronto W08,108,"$74,312,400","$688,078","$565,000",213,59.0%,349,2.4,98%,27,12,7
251,Toronto W09,48,"$18,877,815","$393,288","$399,500",75,57.0%,124,2.7,98%,23,12,7
252,Toronto W10,88,"$27,586,860","$313,487","$271,500",157,55.1%,242,2.9,98%,22,12,7
