,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month,day,date
190,Toronto E02,108.0,69924450.0,647449.0,579950.0,182.0,65.2,113.0,1.2,103.0,9.0,2012,5,15,2012-05-15
191,Toronto E03,122.0,67393034.0,552402.0,530000.0,237.0,63.4,175.0,1.4,103.0,14.0,2012,5,15,2012-05-15
192,Toronto E04,138.0,49807207.0,360922.0,392500.0,224.0,63.5,213.0,1.9,101.0,20.0,2012,5,15,2012-05-15
193,Toronto E05,123.0,51314718.0,417193.0,370000.0,215.0,70.0,164.0,1.3,102.0,18.0,2012,5,15,2012-05-15
194,Toronto E06,38.0,19858474.0,522591.0,491500.0,97.0,59.7,78.0,1.6,101.0,20.0,2012,5,15,2012-05-15
195,Toronto E07,130.0,48884876.0,376038.0,332000.0,216.0,58.6,197.0,2.2,102.0,21.0,2012,5,15,2012-05-15
196,Toronto E08,81.0,34063730.0,420540.0,419000.0,128.0,58.3,146.0,2.3,98.0,20.0,2012,5,15,2012-05-15
197,Toronto E09,135.0,46447958.0,344059.0,354000.0,245.0,58.5,280.0,2.3,99.0,21.0,2012,5,15,2012-05-15
198,Toronto E10,91.0,41252700.0,453326.0,436000.0,131.0,64.0,112.0,1.9,100.0,19.0,2012,5,15,2012-05-15
199,Toronto E11,107.0,38359650.0,358501.0,349000.0,193.0,60.9,205.0,2.2,99.0,18.0,2012,5,15,2012-05-15
200,TRREB Total,9422.0,4792235831.0,508622.0,430000.0,16679.0,58.7,20583.0,2.2,99.0,22.0,2012,6,15,2012-06-15
201,City of Toronto Total,3520.0,1950350664.0,554077.0,434405.0,6742.0,56.4,8537.0,2.3,99.0,21.0,2012,6,15,2012-06-15
